product_name,category,price,mrp,rating,review_count
"SKYRISE Ultra Max Golden Edition Smartwatch | Heart Rate | Steps | Wireless Charging Smartwatch (Golden Strap, 2.09 Inch Big Sunlight Proof Display)",smart_watch,570,4999,4.0,63
HEDU Ultra Max Smart Watch 24k Gold 2.01 Inch HD Smartwatch Smart Watch | Sleep Monitor | Distance Tracker | Calendaring | Sedentar,smart_watch,575,999,4.1,61
"Tecsox Tecwatch 1.99"" Screen BT Calling Black Smart Watch",smart_watch,429,4999,3.7,81
VEhop HD-IPS Display with Bluetooth Calling Black Smart Watch,smart_watch,673,2999,3.9,166
"U7 T900 Ultra Smart Watch 2.09"" HD Display - Campatible for IOS & Android -Bluetooth Calling, Fitness Tracker, Voice Assistance, SpO2, Heart Rate Monitor",smart_watch,609,1999,3.6,5
Pulsebit TFT BT Calling Smart Watch with Strap Upto 24 hours Backup [ BLACK COLOR ],smart_watch,527,1999,4.6,5
Life Like Ultra Max Smart Watch 24k Gold 2.01 Inch HD Smartwatch Smart Watch | Sleep Monitor | Distance Tracker | Calendaring | Sedentary Reminder | Text Messaging | Pedometer | Calorie Tracker | Heart Rate Monitor Smartwatch,smart_watch,550,1999,4.3,23
"OLIVE OPS Sports Edition Smartwatch | Heart Rate | Steps | Wireless Charging Smartwatch (Black-Grey Strap, 1.73 Inch Big Sunlight Proof Display)",smart_watch,650,2999,4.1,29
WOF AMOLED BT Calling Smart Watch with Silicone Strap Upto 5-10 days Backup ( Multicolor ),smart_watch,487,2999,3.5,20
"SKYRISE Sports Edition Smartwatch | Heart Rate | Steps | Wireless Charging Smartwatch (Grey Strap, 1.73 Inch Big Sunlight Proof Display)",smart_watch,711,4999,5.0,1
"T800 Ultra Smart Watch with Beautiful Strap, Bluetooth Calling Smart Watch, 1.99"" Touch Display with Fitness & Outdoor, Health & Medical Tracker, 8 Unique UI Interactions (Orange)",smart_watch,453,2999,4.0,4
Pulsebit TFT BT Calling Smart Watch with Strap Upto 24 hours Backup [ BLACK COLOR ],smart_watch,576,2499,,
WOF AMOLED BT Calling Smart Watch with Silicone Strap Upto 1-2 days Backup ( Orange ),smart_watch,487,2999,,
"Sebora Eau De Parfum (EDP) Fresh,Floral Medium -Fragrance For Men,Women,Unisex ( Pack of 1 )",perfume,199,999,4.1,1306
"Brit Accent Eau De Toilette (EDT) Woody,Fruity,Fresh,Smoky Strong -Fragrance For Men ( Pack of 5 ) 8ml Each",perfume,190,349,4.2,519
"Brit Accent Eau De Toilette (EDT) Woody,Fruity,Oriental,Smoky Strong -Fragrance For Women ( Pack of 5 )",perfume,185,349,4.1,68
