product_name,category,price,mrp,rating,review_count,discount_pct,price_to_mrp_ratio,rating_review_ratio,review_density,generic_word_count,uppercase_ratio,category_avg_price,price_deviation_from_category,extreme_discount_flag,suspicious_trust_flag,aggressive_listing_flag,risk_score,risk_level,seller_cluster_id,price_cluster,discount_pct_cluster,risk_score_cluster,cluster_size
HEDU T500 BT Calling Smart Watch with Strap Upto 4 hours Backup ( BLACK ),smart_watch,436,999,3.5,403.0,0.5635635635635635,0.4364364364364364,0.5831958081839942,0.9243119266055045,1,0.2465753424657534,532.3333333333334,-96.33333333333337,0,1,0,1,Low,0,454.42424242424244,0.7487696035569588,1.9696969696969697,66
"SKYRISE Ultra Max Golden Edition Smartwatch | Heart Rate | Steps | Wireless Charging Smartwatch (Golden Strap, 2.09 Inch Big Sunlight Proof Display)",smart_watch,576,4999,3.8,330.0,0.8847769553910783,0.11522304460892178,0.6549332078653167,0.5729166666666666,4,0.16891891891891891,532.3333333333334,43.66666666666663,1,1,1,3,Medium,2,433.625,0.8650744934452039,2.375,32
HEDU ALOMED Ultra Max Smart Watch 24k Gold 2.01 Inch HD Smartwatch Smart Watch | Sleep Monitor | Distance Tracker | Calendaring | Sedentary,smart_watch,575,999,4.1,76.0,0.4244244244244244,0.5755755755755756,0.9438728492240699,0.13217391304347825,3,0.19424460431654678,532.3333333333334,42.66666666666663,0,1,1,2,Medium,1,298.38461538461536,0.318863073604032,1.0769230769230769,26
t-800 Ultra Max Smartwatch,smart_watch,466,2699,3.6,27.0,0.8273434605409411,0.1726565394590589,1.0803658626014871,0.05793991416309013,1,0.11538461538461539,532.3333333333334,-66.33333333333337,1,1,0,2,Medium,0,454.42424242424244,0.7487696035569588,1.9696969696969697,66
HEDU T500 BT Calling Smart Watch with Strap Upto 1-2 hours Backup ( PINK ),smart_watch,436,999,3.8,67.0,0.5635635635635635,0.4364364364364364,0.9005789929802727,0.1536697247706422,1,0.22972972972972974,532.3333333333334,-96.33333333333337,0,1,0,1,Low,0,454.42424242424244,0.7487696035569588,1.9696969696969697,66
WOF AMOLED BT Calling Smart Watch with Silicone Strap Upto 5-10 days Backup ( Orange ),smart_watch,419,2999,4.2,29.0,0.8602867622540847,0.1397132377459153,1.2348592359398654,0.06921241050119331,1,0.22093023255813954,532.3333333333334,-113.33333333333337,1,0,0,1,Low,0,454.42424242424244,0.7487696035569588,1.9696969696969697,66
"T-800 Ultra Smartwatch Series 8 – Premium Design, Full Touch Display & Bluetooth Calling",smart_watch,440,2699,3.7,7.0,0.8369766580214895,0.16302334197851057,1.7793238837630552,0.015909090909090907,2,0.125,532.3333333333334,-92.33333333333337,1,0,0,1,Low,0,454.42424242424244,0.7487696035569588,1.9696969696969697,66
"SKYRISE Ultra Max Golden Edition Smartwatch | Heart Rate | Steps | Wireless Charging Smartwatch (Golden Strap, 2.09 Inch Big Sunlight Proof Display)",smart_watch,570,4999,4.0,63.0,0.8859771954390878,0.11402280456091218,0.9617966939259757,0.11052631578947368,4,0.16891891891891891,532.3333333333334,37.66666666666663,1,1,1,3,Medium,2,433.625,0.8650744934452039,2.375,32
HEDU Ultra Max Smart Watch 24k Gold 2.01 Inch HD Smartwatch Smart Watch | Sleep Monitor | Distance Tracker | Calendaring | Sedentar,smart_watch,575,999,4.1,61.0,0.4244244244244244,0.5755755755755756,0.9934253691511924,0.10608695652173913,3,0.16030534351145037,532.3333333333334,42.66666666666663,0,1,1,2,Medium,1,298.38461538461536,0.318863073604032,1.0769230769230769,26
"Tecsox Tecwatch 1.99"" Screen BT Calling Black Smart Watch",smart_watch,429,4999,3.7,81.0,0.9141828365673135,0.08581716343268654,0.8396268952910959,0.1888111888111888,1,0.15789473684210525,532.3333333333334,-103.33333333333337,1,1,0,2,Medium,0,454.42424242424244,0.7487696035569588,1.9696969696969697,66
VEhop HD-IPS Display with Bluetooth Calling Black Smart Watch,smart_watch,673,2999,3.9,166.0,0.7755918639546515,0.22440813604534846,0.7620173339284266,0.24665676077265974,2,0.21311475409836064,532.3333333333334,140.66666666666663,1,1,0,2,Medium,0,454.42424242424244,0.7487696035569588,1.9696969696969697,66
"U7 T900 Ultra Smart Watch 2.09"" HD Display - Campatible for IOS & Android -Bluetooth Calling, Fitness Tracker, Voice Assistance, SpO2, Heart Rate Monitor",smart_watch,609,1999,3.6,5.0,0.6953476738369184,0.3046523261630815,2.00919825558449,0.008210180623973728,2,0.1568627450980392,532.3333333333334,76.66666666666663,1,0,0,1,Low,0,454.42424242424244,0.7487696035569588,1.9696969696969697,66
Pulsebit TFT BT Calling Smart Watch with Strap Upto 24 hours Backup [ BLACK COLOR ],smart_watch,527,1999,4.6,5.0,0.7363681840920461,0.263631815907954,2.567308882135737,0.009487666034155597,1,0.26506024096385544,532.3333333333334,-5.333333333333371,1,0,1,2,Medium,0,454.42424242424244,0.7487696035569588,1.9696969696969697,66
Life Like Ultra Max Smart Watch 24k Gold 2.01 Inch HD Smartwatch Smart Watch | Sleep Monitor | Distance Tracker | Calendaring | Sedentary Reminder | Text Messaging | Pedometer | Calorie Tracker | Heart Rate Monitor Smartwatch,smart_watch,550,1999,4.3,23.0,0.7248624312156078,0.2751375687843922,1.3530293159097369,0.04181818181818182,4,0.1288888888888889,532.3333333333334,17.66666666666663,1,0,1,2,Medium,2,433.625,0.8650744934452039,2.375,32
