product_name,category,price,mrp,rating,review_count,product_url,seller_name,seller_rating
HEDU Ultra Max Smart Watch 24k Gold 2.01 Inch HD Smartwatch Smart Watch | Sleep Monitor | Distance Tracker | Calendaring | Sedentar,smart_watch,575,999,4.1,61,https://www.snapdeal.com/product/hedu-ultra-max-smart-watch/667452352965#bcrumbSearch:smart%20watch,,
"Tecsox Tecwatch 1.99"" Screen BT Calling Black Smart Watch",smart_watch,429,4999,3.7,81,https://www.snapdeal.com/product/tecsox-tecwatch-199-screen-bt/657721358574#bcrumbSearch:smart%20watch,Go5 Incorporation,3.8
"SKYRISE Ultra Max Golden Edition Smartwatch | Heart Rate | Steps | Wireless Charging Smartwatch (Golden Strap, 2.09 Inch Big Sunlight Proof Display)",smart_watch,570,4999,4.0,63,https://www.snapdeal.com/product/skyrise-ultra-max-golden-edition/682725321426#bcrumbSearch:smart%20watch,,
"T-800 Ultra Smartwatch Series 8 – Premium Design, Full Touch Display & Bluetooth Calling",smart_watch,440,2699,3.7,7,https://www.snapdeal.com/product/t800-ultra-smartwatch-series-8/646258590687#bcrumbSearch:smart%20watch,PRANAV ENTERPRISES,
VEhop HD-IPS Display with Bluetooth Calling Black Smart Watch,smart_watch,673,2999,3.9,166,https://www.snapdeal.com/product/vehop-hdips-display-with-bluetooth/660965189442#bcrumbSearch:smart%20watch,,
"SKYRISE Sports Edition Smartwatch | Heart Rate | Steps | Wireless Charging Smartwatch (Grey Strap, 1.73 Inch Big Sunlight Proof Display)",smart_watch,711,4999,5.0,1,https://www.snapdeal.com/product/skyrise-sports-edition-smartwatch-heart/619650282295#bcrumbSearch:smart%20watch,NAVEEN ENTERPRISES,
"OLIVE OPS Sports Edition Smartwatch | Heart Rate | Steps | Wireless Charging Smartwatch (Black-Grey Strap, 1.73 Inch Big Sunlight Proof Display)",smart_watch,650,2999,4.1,29,https://www.snapdeal.com/product/olive-ops-sports-edition-smartwatch/655462266845#bcrumbSearch:smart%20watch,,
WOF AMOLED BT Calling Smart Watch with Silicone Strap Upto 5-10 days Backup ( Multicolor ),smart_watch,487,2999,3.5,20,https://www.snapdeal.com/product/wof-amoled-bt-calling-smart/685985648284#bcrumbSearch:smart%20watch,,
Life Like Ultra Max Smart Watch 24k Gold 2.01 Inch HD Smartwatch Smart Watch | Sleep Monitor | Distance Tracker | Calendaring | Sedentary Reminder | Text Messaging | Pedometer | Calorie Tracker | Heart Rate Monitor Smartwatch,smart_watch,550,1999,4.3,23,https://www.snapdeal.com/product/life-like-ultra-max-smart/635219384597#bcrumbSearch:smart%20watch,,
Pulsebit TFT BT Calling Smart Watch with Strap Upto 24 hours Backup [ BLACK COLOR ],smart_watch,527,1999,4.6,5,https://www.snapdeal.com/product/pulsebit-tft-bt-calling-smart/645823051732#bcrumbSearch:smart%20watch,RADHA ENTERPRISES,3.9
"T800 Ultra Smart Watch with Beautiful Strap, Bluetooth Calling Smart Watch, 1.99"" Touch Display with Fitness & Outdoor, Health & Medical Tracker, 8 Unique UI Interactions (Orange)",smart_watch,453,2999,4.0,4,https://www.snapdeal.com/product/t800-ultra-smart-watch-with/648413980217#bcrumbSearch:smart%20watch,,
Pulsebit TFT BT Calling Smart Watch with Strap Upto 24 hours Backup [ BLACK COLOR ],smart_watch,576,2499,,,https://www.snapdeal.com/product/pulsebit-tft-bt-calling-smart/619616681925#bcrumbSearch:smart%20watch,RADHA ENTERPRISES,3.9
WOF AMOLED BT Calling Smart Watch with Silicone Strap Upto 1-2 days Backup ( Orange ),smart_watch,487,2999,,,https://www.snapdeal.com/product/wof-amoled-bt-calling-smart/677250603111#bcrumbSearch:smart%20watch,,
"Sebora Eau De Parfum (EDP) Fresh,Floral Medium -Fragrance For Men,Women,Unisex ( Pack of 1 )",perfume,199,999,4.1,1306,https://www.snapdeal.com/product/sebora-eau-de-parfum-edp/684450519703#bcrumbSearch:perfume,CENTU MART,3.5
"Brit Accent Eau De Toilette (EDT) Woody,Fruity,Fresh,Smoky Strong -Fragrance For Men ( Pack of 5 ) 8ml Each",perfume,190,349,4.2,519,https://www.snapdeal.com/product/brit-accent-eau-de-toilette/636671093088#bcrumbSearch:perfume,,
"Brit Accent Eau De Toilette (EDT) Woody,Fruity,Oriental,Smoky Strong -Fragrance For Women ( Pack of 5 )",perfume,185,349,4.1,68,https://www.snapdeal.com/product/brit-accent-eau-de-toilette/643285010914#bcrumbSearch:perfume,SANGRILA LIFESTYLE PRIVATE LIMITED,4.1
Ramsons - MIDNIGHT Eau De Parfum Perfume For Men Long Lasting Premium Perfume 40ml (Pack of 1),perfume,165,189,4.1,226,https://www.snapdeal.com/product/ramsons-midnight-eau-de-parfum/642507941459#bcrumbSearch:perfume,,
Ramsons - U R LOVELY Eau De Parfum Perfume For Women Long Lasting Premium Perfume 30ml (Pack of 1),perfume,165,189,4.3,323,https://www.snapdeal.com/product/ramsons-u-r-lovely-eau/655582726965#bcrumbSearch:perfume,RAMSONS PERFUMES PRIVATE LIMITED,4.3
